Order ID,Product title,Orders,Total sales,Quantity ordered
7384981831923 ,Barbie Toddler/Kid Girl Sweet 1 pc Secret Button Top OR 1 pc Dress incarnadinepink,1,19.82,1
7295375802611 ,Baby Girl Sweet Flutter-sleeve Floral Dress Light Green,1,9.17,1
7423444451571 ,Family Matching Striped Spliced Cut Out One-piece Swimsuit and Colorblock Swim Trunks Green/White,1,4.32,1
7399794114803 ,Family Matching Casual Outfit Floral Print T-shirt or Halter Dress Summer Set for Vacation  Apricot,1,8.55,1
7355345142003 ,Family Matching Solid Leaf Sleeveless Halter Dresses And Short Sleeve Tops Sets Black,1,21.09,1
7392690864371 ,Toddler/Kid Girl 2pcs Tunie Top and Leggings Set Yellow,1,12.29,1
7387911913715 ,Bamboo Baby Boy / Girl Childlike Animal Pattern 2-way Zipper Footie Green,1,13.15,1
7347564609779 ,Matching Floral Print Green Smocked Strap Jumpsuits for Mommy and Me Green,1,26.51,1
7340626051315 ,Disney Princess Mommy and Me Moana Tropical Floral V-neck Dress Orange,1,22.72,1
7488140673267 ,"Daddy & Daughter Swimsuits Tropical Palm Tree Print, Beach Vacation Swimwear Turquoise",1,20.29,1
7347665010931 ,Family Matching Plaid Shirt Tops and Red Mesh Splice Belted Dresses Sets Burgundy,1,10.34,1
7452071035123 ,"Family Matching Bamboo Pajamas Buttery Soft Bamboo Viscose PJs for Men Women Kids Toddler Baby, Cozy Dessert Print Short-sleeve Sleepwear Blue",1,0,1
7452185952499 ,Family Matching Outfits Set Solid Color Short-sleeve Polo Collar Shirt or Flower Print Hollow out Dress  Pink,1,38.15,1
7093281849587 ,Disney Mickey and Friends Family Matching Naia??Colorful Checkered Pattern Top/Sleeveless Dress/Onesie Multi-color,1,25.49,1
7419683471603 ,Family Matching Sets Floral Panel Black tee and V-neck Strap Dress with Hidden Snap Deep Blue,1,5.35,1
7502090567923 ,Baby Animal Print Antiskid Shoe Socks Pink,1,6.86,1
7413785592051 ,Family Matching Allover Plant Floral Print Halterneck Dresses and Short-sleeve Shirts Sets Black,1,15.9,1
7181000245491 ,Disney Mickey and Friends Toddle/Kid Boy 1pc Mickey Mouse Patch Colorblock Jacket Red,1,16.45,1
7399877574899 ,Family Matching Outfit: Floral Smocking Casual Suit BLUEWHITE,1,28.41,1
7435741266163 ,Family Matching Leaf Print Green Short-sleeve Shirt or Sling Shirred Dress Set Green,1,16.52,1
7107413868787 ,Disney Mickey and Friends Family Matching Stripe & Character Print Short-sleeve Naia??Dresses and T-shirts Sets COLOREDSTRIPES,1,11.01,1
7440822763763 ,Funny Disney Mickey and Friends Sibling Set Boy/Girl Minnie/Mickey Character Stripped Swimsuit Dark Blue,1,19.85,1
7507171115251 ,PAW Patrol Toddler Girl Skye 2pcs Rainbow Print T-shirt with Shorts Sporty Set Pink,1,18.6,1
7445303099635 ,"Family Matching Casual Dress or T-Shirt, Solid Color, Fabric Stitching royalblue",1,33.05,1
7464696938739 ,"Family Matching Casual Dress or T-Shirt, Solid Color, Fabric Stitching royalblue",1,8.89,1
7521250443507 ,All Over Dots Pink Cross Wrap V Neck Ruffle Flutter-sleeve Dress for Mom and Me PinkyWhite,1,23.5,1
7096748441843 ,Barbie Toddler/Kid Girl Valentine's Day Letter and Heart Allover Print Dress PinkyWhite,1,6.4,1
7503749742835 ,"Mommy and Me Family Matching Soft Casual Outfit with Below Knee Dresses, Front Buttons, Belted Design Blue",1,26.12,1
7366154846451 ,Disney Mickey and Friends Mommy and Me Minnie Mouse Halter Design Dress Mint Green,1,40.15,1
7286672785651 ,"Matching Family Swimsuit Colorblock Drawstring Swim Trunks or Striped Blue Spliced Tankini with Cross-Front, Tie-Back, and Thin Straps Color block",1,10.75,1
7379191529715 ,Family Matching Solid V Neck Flutter-sleeve Splicing Floral Print Dresses and Short-sleeve Colorblock T-shirts Sets Azure-,1,9.23,1
7498098999539 ,Family Matching Sets Green Striped Polo Shirt or Flora Print Strap Belted Dress Light Green,1,8.73,1
7472798695667 ,"Mommy & me Outfits Blue Floral Print Dress & Color Block Tee Set, Mommy Daddy and Me Summer Beach Vacation Coordinates Blue",1,16.95,1
7501950288115 ,"Family Matching Tropical Print Outfits Mommy & Me Tank Dress & Dad/Kids Cotton T-Shirt Set
 Green",1,18.27,1
7522022326515 ,"Matching Family Outfits Lemon Print Hawaiian Shirts & Summer Dresses Tropical Vacation Clothes for Men, Women & Kids Green",1,33.56,1
7497375449331 ,Family Matching Color-block Swim Trunks or One-shoulder Side Knot One-Piece Swimsuit (Quick-Dry) ColorBlock,1,15.35,1
7303219642611 ,Family Matching Swimsuits Tropical Pink Leaf Print Halter One-Piece Swimwear or Swim Trunks Set Pink,1,23.42,1
7457373389043 ,PAW Patrol Toddler Girl 1pc Skye Ocean Pattern Glossy Material Ruffle UPF 50+ Swimsuit Hot Pink,1,10.14,1
7520801063155 ,Disney Mickey and Friends Family matching 1pc Mickey Mouse Graffiti Cotton T-shirt or Colorblock Dress with Built-in Shorts & Pockets or Naia??Allover Romper Red,1,21.09,1
7440467755251 ,Matching Floral Print Green Smocked Strap Jumpsuits for Mommy and Me Green,1,24.35,1
7455711527155 ,Family Matching Hawaiian Outfits Tropical Floral Print Vacation Clothes Strap Belted Dress or Short-sleeve Shirts Summer Beachwear Set Navy,1,5.83,1
7295426560243 ,"Family Matching Swimwear Tropical Print, Mommy Tie-front Cutout One-piece Swimsuit, Girl two-piece Swimsuit Daddy & Son Swim Trunks Set for Summer Beach Vacation Light Blue",1,30.44,1
7268467409139 ,Family Matching Floral Print Belted Cami Dresses And Solid Short Sleeve Tops Sets Black,1,14.6,1
7418193772787 ,Easter Toddler Girl Rabbit Print Flutter-sleeve Dress Purple,1,7.4,1
7504666296563 ,Family Matching Allover Plant Floral Print Halterneck Dresses and Short-sleeve Shirts Sets Black,1,33.45,2
7432348303603 ,Family Matching Outfit: Floral Smocking Casual Suit BLUEWHITE,1,15.85,1
7383181263091 ,Easter Bunny Basket Blue,1,0,1
7356082520307 ,Disney Mickey and Friends Family Matching Stripe & Character Print Short-sleeve Naia??Dresses and T-shirts Sets COLOREDSTRIPES,1,24.18,1
7521986478323 ,Family Matching Leaf Print Short-sleeve Shirt or Halter Dress Green Set Green,1,26.39,1
7503707734259 ,Matching Floral Print Green Smocked Strap Jumpsuits for Mommy and Me Green,1,30.44,1
7427497722099 ,Family Matching Yellow Set Tropical Leaf Print Short-sleeve Shirt or Strap Dress Yellow,1,13.56,1
7427214049523 ,Family Matching Colorblock One Shoulder Cut Out One-piece Swimsuit and Striped Spliced Swim Trunks Shorts DeepTurquoise,1,11.85,1
7359208849651 ,"Family Matching Pink Outfits Flower Print Smocked Tie-Back Cotton Dress for Mom & Daughter, Solid Shirts for Dad & Son, Perfect for Summer Family Outings & Photos Mauve Pink",1,38.83,1
7355776139507 ,Family Matching Sets Green Striped Polo Shirt or Flora Print Strap Belted Dress Light Green,1,20.96,1
7357192863987 ,Family Matching Floral Print Beach Wear Short-sleeve Shirt or Camisole top and Wide-Leg Pants Set for Summer Vacation Family Looks Black+White,1,10.36,1
7093864923379 ,"Family Matching Outfits Blue Floral Print Dress & Color Block Tee Set, Mommy Daddy and Me Summer Beach Vacation Coordinates Blue",1,19.71,1
7458213953779 ,Toddler Girl 2pcs Dear Ruffled Sweatshirt and Floral Flared Pants Set Color block,1,10.14,1
7435743756531 ,Family Matching Leaf Print Short-sleeve Shirt or Halter Dress Green Set Green,1,17.25,1
7379114098931 ,"Tropical Floral Family Matching Outfits Pink Blue Leaf Print Short-sleeve Shirt or One Shoulder Smocked top and Skirt Co-ord Set for Vacation, Cruise, Beach White",1,34.02,1
7464420737267 ,Family Matching Cross Back Floral Strap Dress and Colorblock Top Sets Black,1,16.78,1
7340893208819 ,Family Matching Outfits Red Leaf Print Shirts and Strap Belted Dress for Hawaii/Cruise/Resort/Casual Wear White,1,39.23,1
7476897448179 ,Family Matching Outfits White Camisole Top and Blue Floral Print Skirt Co-ord Set or Colorblock Short-sleeve T-shirt Blue,1,10.25,1
7364509171955 ,Disney Frozen Toddler Girl Elsa Ruffle-sleeve Sequin Dress Silver,1,32.38,1
7347484098803 ,Family Matching Sets Floral Panel Black tee and V-neck Strap Dress with Hidden Snap Deep Blue,1,15.04,1
7414586999027 ,Family Matching Trendy Purple & Blue Wave Print Swim Trunks or Midriff Cutout One-Piece Swimsuit Purple,1,14.83,1
7107591045363 ,"Disney Mickey & Friends Toddler/Kid Girl Sporty Dress with Built-in Shorts & Pockets Üd?Breathable Park Outfit, Allover Print",1,16.69,1
7347072336115 ,Family Matching Leaf Print Green Short-sleeve Shirt or Sling Shirred Dress Set Green,1,51.76,2
7504271507699 ,"Family Matching Casual Dress or T-Shirt, Solid Color, Fabric Stitching royalblue",1,27.98,1
7366584172787 ,Barbie Toddler/Kid Girl Classic Barbie Letter Print Sequins Flutter-sleeve Dress Roseo,1,32.46,1
7358534975731 ,Family Matching Outfit: Floral Smocking Casual Suit BLUEWHITE,1,26.71,1
7340013027571 ,Barbie Toddler/Kid 1pc Logo Pattern Long-sleeve Puffer Jacket Coat Roseo,1,51.16,1
7400602403059 ,Family Matching Flora Swim Trunks or Smocking Strap two-piece Swimsuit Purple,1,25.67,1
7521827029235 ,Disney Lion King Family Matching Simba Palm Leaf Pattern Colorblock Dress/Top/Romper Dark Blue,1,12.53,1
7467214668019 ,Daddy and Me Family Matching Solid Leaf Sleeveless Halter Dresses And Short Sleeve Tops Sets Black,1,20.29,1
7405683343603 ,Family Matching Yellow Set Tropical Leaf Print Short-sleeve Shirt or Strap Dress Yellow,1,10.03,1
7356739682547 ,Family Matching Yellow Set Tropical Leaf Print Short-sleeve Shirt or Strap Dress Yellow,1,36.94,2
7299210805491 ,Family Matching Flora Swim Trunks or Smocking Strap two-piece Swimsuit Purple,1,25.9,2
7463905558771 ,"Family Matching ""Family Vacation"" Graphic Cotton Tees Tropical Surf Print T-Shirt Multi-color",1,18.26,1
7388695855347 ,"Disney Mickey & Friends Toddler/Kid Girl Sporty Dress with Built-in Shorts & Pockets Üd?Breathable Park Outfit, Allover Print",1,25.02,1
7417301434611 ,"Matching Mom & Me Cotton Dress Eyelet Smocked Dresses with Ruffled Straps, Perfect for Summer Outings & Family Photos White",1,45.89,1
7339852464371 ,"Family Matching Swimwear Tropical Print, Mommy Tie-front Cutout One-piece Swimsuit, Girl two-piece Swimsuit Daddy & Son Swim Trunks Set for Summer Beach Vacation Light Blue",1,14.77,1
7521781285107 ,"Disney Mickey & Friends Toddler/Kid Girl Sporty Dress with Built-in Shorts & Pockets Üd?Breathable Park Outfit, Allover Print",1,20.32,1
7455498469619 ,Family Matching Cross Back Floral Strap Dress and Colorblock Top Sets Black,1,18.69,1
7474832408819 ,"Mommy & me Outfits Blue Floral Print Dress & Color Block Tee Set, Mommy Daddy and Me Summer Beach Vacation Coordinates Blue",1,40.27,1
7397461164275 ,"Family Matching Soft Casual Outfit with Below Knee Dresses, Front Buttons, Belted Design Blue",1,10.57,1
7458492809459 ,"Family Matching Soft Casual Outfit with Below Knee Dresses, Front Buttons, Belted Design Blue",1,11.68,1
7523959406835 ,"Family Matching Pink Outfits Flower Print Smocked Tie-Back Cotton Dress for Mom & Daughter, Solid Shirts for Dad & Son, Perfect for Summer Family Outings & Photos Mauve Pink",1,32.23,1
7522161852659 ,"Disney Mickey & Friends Toddler/Kid Girl Sporty Dress with Built-in Shorts & Pockets Üd?Breathable Park Outfit, Allover Print",1,10.17,1
7298475032819 ,"Family Matching Soft Casual Outfit with Below Knee Dresses, Front Buttons, Belted Design Blue",1,14.12,1
